,,,,,,,,,,,,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,DIFF 5th/4th,DIFF 4th/3rd,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,Change (aggregate - with direction) 3rd - Context,Change scaled (-100 |100),ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2017,ODB2016,ODB2015,WI2014,ODB2013,DIFF 5th/4th,DIFF 4th/3rd,DIFF 3rd/2nd,DIFF 2nd/1st,ODB2016,Change (aggregate - with direction) 3rd - Impact,Change scaled (-100 | 100),Change (aggregate - with direction) 4th Total,Overall Change 4th Edt.,Largest Change 3rd
Country,Region,2017 Name,2016 Name,2015 Name,2014 Name,2013 Name,2017,2016,2015,2014,2013,ODB.2013.C1,ODB.2013.C1,ODB.2013.C1,ODB.2013.C1,ODB.2013.C.INIT,OGD Initiative,OGD Initiative,OGD Initiative,OGD Initiative,ODB.2015.C2,ODB.2015.C2,ODB.2015.C2,Policy or Strategy,Policy or Strategy,ODB.2015.C3,ODB.2015.C3,ODB.2015.C3,Data management,Data management,ODB.2013.C4,ODB.2013.C4,ODB.2013.C4,WI.2014.P5,ODB.2013.C.DPL,Data Protection: Change,Data Protection: Change,Data Protection: Change,Data Protection: Change,ODB.2013.C5,ODB.2013.C5,ODB.2013.C5,WI.2014.P6,ODB.2013.C.RTI,Right to Information,Right to Information,Right to Information,Right to Information,ODB.2013.C6,ODB.2013.C6,ODB.2013.C6,ODB.2013.C4,ODB.2013.C.CSOC,CSO Engagement,CSO Engagement,CSO Engagement,CSO Engagement,ODB.2013.C7,ODB.2013.C7,ODB.2013.C7,ODB.2013.C6,ODB.2013.C.SUPIN,Support for Innovation,Support for Innovation,Support for Innovation,Support for Innovation,ODB.2013.C8,ODB.2013.C8,ODB.2013.C8,ODB.2013.C5,ODB.2013.C.CITY,City Activity,City Activity,City Activity,City Activity,ODB.2013.C9,ODB.2013.C9,ODB.2013.C9,ODB.2013.C7,ODB.2013.C.TRAIN,Training,Training,Training,Training,Balance of -ve/+ve,,ODB.2013.I1,ODB.2013.I1,ODB.2013.I1,ODB.2013.I1,ODB.2013.I.GOV,Impact: Efficiency,Impact: Efficiency,Impact: Efficiency,Impact: Efficiency,ODB.2013.I2,ODB.2013.I2,ODB.2013.I2,ODB.2013.I2,ODB.2013.I.ACCOUNT,Impact: Accountability,Impact: Accountability,Impact: Accountability,Impact: Accountability,ODB.2013.I3,ODB.2013.I3,ODB.2013.I3,ODB.2013.I3,ODB.2013.I.ENV,Impact: Environment,Impact: Environment,Impact: Environment,Impact: Environment,ODB.2013.I4,ODB.2013.I4,ODB.2013.I4,ODB.2013.I4,ODB.2013.I.INC,Impact: Inclusion,Impact: Inclusion,Impact: Inclusion,Impact: Inclusion,ODB.2013.I5,ODB.2013.I5,ODB.2013.I5,ODB.2013.I5,ODB.2013.I.ECON,Impact: Economics,Impact: Economics,Impact: Economics,Impact: Economics,ODB.2013.I6,ODB.2013.I6,ODB.2013.I6,ODB.2013.I6,ODB.2013.I.ENTR,Impact: Entrepreneurs,Impact: Entrepreneurs,Impact: Entrepreneurs,Impact: Entrepreneurs,ODB.2016.I7,Balance of -ve/+ve,,Balance of -ve/+ve,Absolute value,Largest Change
Albania,,,Albania,,,,No,Yes,No,No,No,,2,,,,,,,,,5,,,,,5,,,,,8,,,,,,,,,8,,,,,,,,,7,,,,,,,,,2,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,0,,,,,
Argentina,Latin America & Caribbean,Argentina,Argentina,Argentina,Argentina,Argentina,Yes,Yes,Yes,Yes,Yes,8,6,5,5,6,2,1,0,-1,7,5,3,2,2,7,4,1,3,3,7,7,7,8,9,0,0,-1,-1,6,5,4,3,3,1,1,1,0,6,6,4,4,4,0,2,0,0,7,4,3,3,4,3,1,0,-1,8,6,5,4,4,2,1,1,0,6,5,3,3,4,1,2,0,-1,14,15.56,1,0,0,0,0,1,0,0,0,3,2,1,3,2,1,1,-2,1,1,0,1,2,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,1,5,4,1,2,0,1,3,-1,2,0,4,6.67,18,15,3
Australia,East Asia & Pacific,Australia,Australia,Australia,Australia,Australia,Yes,Yes,Yes,Yes,Yes,8,8,8,8,8,0,0,0,0,9,7,6,2,1,8,7,7,1,0,7,6,5,7,8,1,1,-2,-1,6,7,7,7,7,-1,0,0,0,8,7,7,8,8,1,0,-1,0,8,5,5,6,4,3,0,-1,2,8,9,9,8,8,-1,0,1,0,7,6,6,6,7,1,0,0,-1,7,7.78,6,3,2,1,4,3,1,1,-3,5,2,2,2,4,3,0,0,-2,6,3,2,2,2,3,1,0,0,5,3,0,2,2,2,3,-2,0,7,5,5,3,4,2,0,2,-1,8,6,3,3,1,2,3,0,2,2,15,25.00,22,23,3
Austria,Europe & Central Asia,,Austria,Austria,Austria,Austria,No,Yes,Yes,Yes,Yes,,8,7,6,5,,1,1,1,,6,6,,0,,7,7,,0,,9,8,8,8,,1,0,0,,3,4,5,2,,-1,-1,3,,8,8,8,8,,0,0,0,,5,6,6,3,,-1,0,3,,9,9,9,8,,0,0,1,,6,5,5,4,,1,0,1,1,1.11,,3,3,3,4,,0,0,-1,,4,4,4,2,,0,0,2,,4,4,5,2,,0,-1,3,,3,3,4,0,,0,-1,4,,2,2,3,3,,0,-1,0,,6,6,6,5,,0,0,1,0,0,0.00,1,5,1
Bahrain,Middle East & North Africa,,Bahrain,Bahrain,Bahrain,Bahrain,No,Yes,Yes,Yes,Yes,,4,4,4,5,,0,0,-1,,1,1,,0,,0,0,,0,,2,2,3,3,,0,-1,0,,0,0,0,1,,0,0,-1,,0,1,0,2,,-1,1,-2,,0,1,0,2,,-1,1,-2,,0,0,0,0,,0,0,0,,3,3,2,2,,0,1,0,-2,-2.22,,2,0,0,0,,2,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,1,2,3.33,0,4,2
Bangladesh,South Asia,,Bangladesh,Bangladesh,Bangladesh,Bangladesh,No,Yes,Yes,Yes,Yes,,4,0,0,2,,4,0,-2,,4,0,,4,,1,0,,1,,1,1,0,0,,0,1,0,,5,6,8,8,,-1,-2,0,,2,2,0,0,,0,2,0,,3,0,0,0,,3,0,0,,0,0,0,0,,0,0,0,,2,2,2,4,,0,0,-2,11,12.22,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,1,0,1,0,,1,-1,1,0,1,1.67,12,14,4
Belarus,,,Belarus,,,,No,Yes,No,No,No,,2,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,3,,,,,,,,,2,,,,,,,,,0,,,,,,,,,4,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1,,,,,,,,2,,,,,
Belgium,Europe & Central Asia,,Belgium,Belgium,Belgium,Belgium,No,Yes,Yes,Yes,Yes,,8,8,8,4,,0,0,4,,8,7,,1,,4,3,,1,,9,9,9,9,,0,0,0,,5,5,8,6,,0,-3,2,,7,8,8,8,,-1,0,0,,5,7,4,2,,-2,3,2,,8,8,8,7,,0,0,1,,6,6,6,6,,0,0,0,-1,-1.11,,0,0,2,1,,0,-2,1,,1,2,4,6,,-1,-2,-2,,0,1,0,1,,-1,1,-1,,0,1,3,0,,-1,-2,3,,1,2,5,0,,-1,-3,5,,6,6,4,2,,0,2,2,0,-4,-6.67,-5,9,2
Benin,Sub-Saharan Africa,,Benin,Benin,Benin,Benin,No,Yes,Yes,Yes,Yes,,0,0,0,0,,0,0,0,,0,0,,0,,0,1,,-1,,5,6,5,5,,-1,1,0,,1,1,2,3,,0,-1,-1,,1,1,0,0,,0,1,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,3,2,0,1,,1,2,-1,-1,-1.11,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,1,0,0.00,-1,3,1
